entityId,time_utc,availableBikeNumber
24371,2025-02-03 04:00:00+00:00,33.0
24371,2025-02-03 05:00:00+00:00,32.490196078431374
24371,2025-02-03 06:00:00+00:00,32.276595744680854
24371,2025-02-03 07:00:00+00:00,34.02173913043478
24371,2025-02-03 08:00:00+00:00,37.471698113207545
24371,2025-02-03 09:00:00+00:00,37.67924528301887
24371,2025-02-03 10:00:00+00:00,39.38461538461539
24371,2025-02-03 11:00:00+00:00,37.93617021276596
24371,2025-02-03 12:00:00+00:00,36.36206896551724
24371,2025-02-03 13:00:00+00:00,37.03846153846154
24371,2025-02-03 14:00:00+00:00,43.54716981132076
24372,2025-02-02 15:00:00+00:00,0.0
24372,2025-02-02 16:00:00+00:00,0.0
24372,2025-02-02 17:00:00+00:00,0.0851063829787234
24372,2025-02-02 18:00:00+00:00,0.0
24372,2025-02-02 19:00:00+00:00,0.0
24372,2025-02-02 20:00:00+00:00,0.0
24372,2025-02-02 21:00:00+00:00,0.0
24372,2025-02-02 22:00:00+00:00,0.0
24372,2025-02-02 23:00:00+00:00,0.0
24372,2025-02-03 00:00:00+00:00,0.0
24372,2025-02-03 01:00:00+00:00,0.0
24372,2025-02-03 02:00:00+00:00,0.0
24372,2025-02-03 03:00:00+00:00,0.0
24372,2025-02-03 04:00:00+00:00,0.2592592592592592
24372,2025-02-03 05:00:00+00:00,1.0
24372,2025-02-03 06:00:00+00:00,0.4791666666666667
24372,2025-02-03 07:00:00+00:00,0.2888888888888888
24372,2025-02-03 08:00:00+00:00,1.0
24372,2025-02-03 09:00:00+00:00,1.0
24372,2025-02-03 10:00:00+00:00,1.0
24372,2025-02-03 11:00:00+00:00,0.5416666666666666
24372,2025-02-03 12:00:00+00:00,0.0
24372,2025-02-03 13:00:00+00:00,0.0
24372,2025-02-03 14:00:00+00:00,0.0
24373,2025-02-02 15:00:00+00:00,0.0
24373,2025-02-02 16:00:00+00:00,0.0
24373,2025-02-02 17:00:00+00:00,0.0
24373,2025-02-02 18:00:00+00:00,0.0
24373,2025-02-02 19:00:00+00:00,0.0
24373,2025-02-02 20:00:00+00:00,0.0
24373,2025-02-02 21:00:00+00:00,0.0
24373,2025-02-02 22:00:00+00:00,0.0
24373,2025-02-02 23:00:00+00:00,0.0
24373,2025-02-03 00:00:00+00:00,0.0
24373,2025-02-03 01:00:00+00:00,0.0
